date,home_team,away_team,game_id,url,stage,league,season
2023-12-17 14:00:00,West Ham,Wolves,1729501,https://www.whoscored.com/Matches/1729501/Live/England-Premier-League-2023-2024-West-Ham-Wolves,,ENG-Premier League,2324
2023-12-17 14:00:00,Arsenal,Brighton,1729493,https://www.whoscored.com/Matches/1729493/Live/England-Premier-League-2023-2024-Arsenal-Brighton,,ENG-Premier League,2324
2023-12-17 14:00:00,Brentford,Aston Villa,1729494,https://www.whoscored.com/Matches/1729494/Live/England-Premier-League-2023-2024-Brentford-Aston-Villa,,ENG-Premier League,2324
2023-12-17 16:30:00,Liverpool,Manchester United,1729497,https://www.whoscored.com/Matches/1729497/Live/England-Premier-League-2023-2024-Liverpool-Manchester-United,,ENG-Premier League,2324
2023-12-21 20:00:00,Crystal Palace,Brighton,1729503,https://www.whoscored.com/Matches/1729503/Live/England-Premier-League-2023-2024-Crystal-Palace-Brighton,,ENG-Premier League,2324
2023-12-22 20:00:00,Aston Villa,Sheffield United,1729502,https://www.whoscored.com/Matches/1729502/Live/England-Premier-League-2023-2024-Aston-Villa-Sheffield-United,,ENG-Premier League,2324
2023-12-23 12:30:00,West Ham,Manchester United,1729510,https://www.whoscored.com/Matches/1729510/Live/England-Premier-League-2023-2024-West-Ham-Manchester-United,,ENG-Premier League,2324
2023-12-23 15:00:00,Luton,Newcastle,1729506,https://www.whoscored.com/Matches/1729506/Live/England-Premier-League-2023-2024-Luton-Newcastle,,ENG-Premier League,2324
2023-12-23 15:00:00,Nottingham Forest,Bournemouth,1729508,https://www.whoscored.com/Matches/1729508/Live/England-Premier-League-2023-2024-Nottingham-Forest-Bournemouth,,ENG-Premier League,2324
2023-12-23 15:00:00,Tottenham,Everton,1729509,https://www.whoscored.com/Matches/1729509/Live/England-Premier-League-2023-2024-Tottenham-Everton,,ENG-Premier League,2324
2023-12-23 15:00:00,Fulham,Burnley,1729504,https://www.whoscored.com/Matches/1729504/Live/England-Premier-League-2023-2024-Fulham-Burnley,,ENG-Premier League,2324
2023-12-23 15:00:00,Manchester City,Brentford,1729507,https://www.whoscored.com/Matches/1729507/Show/England-Premier-League-2023-2024-Manchester-City-Brentford,,ENG-Premier League,2324
2023-12-23 17:30:00,Liverpool,Arsenal,1729505,https://www.whoscored.com/Matches/1729505/Live/England-Premier-League-2023-2024-Liverpool-Arsenal,,ENG-Premier League,2324
